                    arq ordenado                                           | arq reverso                                                | arq randômico
                  comp. prog |  comp. equa |  mov prog |  mov equa | tempo |   comp. prog |  comp. equa |  mov prog |  mov equa | tempo |    comp. prog |  comp. equa |  mov prog |  mov equa | tempo
insertion               1024 |        1024 |      2048 |         0 |     9 |       524800 |     1048576 |    525824 |    523776 |  3084 |        257765 |     1048576 |    258789 |    262144 |  1514
binary insertion       10250 |       10240 |      1023 |         0 |    31 |        10250 |       10240 |      1023 |    523776 |    32 |         10250 |       10240 |      1023 |    262144 |    32
selection             523776 |     1048576 |      2048 |         0 |  1489 |       523776 |     1048576 |      2048 |      1023 |  1485 |        523776 |     1048576 |      2048 |      1023 |  1491
bubble                  1023 |        1024 |         0 |         0 |     5 |         1023 |     1048576 |         0 |    523776 |     5 |          1023 |     1048576 |         0 |    524288 |     5
shaker                  1024 |        1024 |         0 |         0 |     5 |         1024 |     1048576 |         0 |    523776 |     5 |          1024 |     1048576 |         0 |    524288 |     5
shell                   8204 |           0 |      8204 |         0 |    71 |         8204 |           0 |      8204 |         0 |    71 |          8204 |           0 |      8204 |         0 |    71
heap                  785920 |           0 |     18684 |         0 |  2281 |       785920 |           0 |     18684 |         0 |  2280 |        785920 |           0 |     18684 |         0 |  2275
quick SP              523776 |           0 |         0 |         0 |  1483 |       523776 |           0 |         0 |         0 |  1483 |        523776 |           0 |         0 |         0 |  1488
quick CP              522753 |           0 |   1047552 |         0 |  6188 |       522753 |           0 |   1047552 |         0 |  6197 |        522753 |           0 |   1047552 |         0 |  6200
merge 1a                9217 |           0 |     20480 |         0 |   122 |         9217 |           0 |     20480 |         0 |   123 |          9217 |           0 |     20480 |         0 |   123
merge 2a                5110 |           0 |     10229 |         0 |   130 |         5110 |           0 |     10229 |         0 |   129 |          5110 |           0 |     10229 |         0 |   130
counting                   0 |           0 |      1024 |         0 |    12 |            0 |           0 |      1024 |         0 |    11 |             0 |           0 |      1024 |         0 |    11
bucket                   921 |           0 |      1024 |         0 |    20 |          921 |           0 |      1024 |         0 |    20 |           921 |           0 |      1024 |         0 |    20
radix                      0 |           0 |      4096 |         0 |    76 |            0 |           0 |      4096 |         0 |    76 |             0 |           0 |      4096 |         0 |    76
comb                   20192 |           0 |      2510 |         0 |   121 |        20192 |           0 |      2510 |         0 |   121 |         20192 |           0 |      2510 |         0 |   121
gnome                   1083 |           0 |        60 |         0 |     6 |         1083 |           0 |        60 |         0 |     6 |          1083 |           0 |        60 |         0 |     6
tim                     1023 |           0 |         0 |         0 |     2 |         1023 |           0 |         0 |         0 |     2 |          1023 |           0 |         0 |         0 |     2
